run,inicio_aleatorio,destino_aleatorio,algoritimo,nos_expandidos,memoria_usada,fator_de_ramificacao,tempo_execucao
1,"(40.483048, -112.071489)","(34.345982, -112.166287)",BFS,175,10776,1.1290322580645162,90.2733645439148
1,"(40.483048, -112.071489)","(34.345982, -112.166287)",DFS,22,1512,1.2222222222222223,10.33868932723999
1,"(40.483048, -112.071489)","(34.345982, -112.166287)",UCS,182,10472,1.1518987341772151,90.37120151519775
1,"(40.483048, -112.071489)","(34.345982, -112.166287)",A_star_harvesine,58064,563484,2.6061680656417994,90.00328874588013
1,"(40.483048, -112.071489)","(34.345982, -112.166287)",A_star_euclidian_distance,56754,563484,2.6183429090979438,90.00710892677307
2,"(35.557346, -107.034578)","(32.279717, -111.038677)",BFS,197,12008,1.6982758620689655,90.11601996421814
2,"(35.557346, -107.034578)","(32.279717, -111.038677)",DFS,26,1736,1.368421052631579,10.438443422317505
2,"(35.557346, -107.034578)","(32.279717, -111.038677)",UCS,195,11200,1.6666666666666667,90.43894481658936
2,"(35.557346, -107.034578)","(32.279717, -111.038677)",A_star_harvesine,59078,564668,3.7648885717883074,90.01015591621399
2,"(35.557346, -107.034578)","(32.279717, -111.038677)",A_star_euclidian_distance,58444,564668,3.7625515709298636,90.00303506851196
3,"(41.534403, -112.060296)","(47.524068, -116.131028)",BFS,207,12568,1.556390977443609,90.49015355110168
3,"(41.534403, -112.060296)","(47.524068, -116.131028)",DFS,24,1624,1.263157894736842,10.22184681892395
3,"(41.534403, -112.060296)","(47.524068, -116.131028)",UCS,200,11480,1.3333333333333333,90.31917142868042
3,"(41.534403, -112.060296)","(47.524068, -116.131028)",A_star_harvesine,68083,607108,5.292467243853882,90.01338315010071
3,"(41.534403, -112.060296)","(47.524068, -116.131028)",A_star_euclidian_distance,67629,607108,5.293099829769372,90.0133888721466
4,"(36.97965, -121.967367)","(36.209607, -115.031337)",BFS,217,13128,1.3647798742138364,90.50722622871399
4,"(36.97965, -121.967367)","(36.209607, -115.031337)",DFS,23,1568,1.2105263157894737,10.44524097442627
4,"(36.97965, -121.967367)","(36.209607, -115.031337)",UCS,212,12152,1.4421768707482994,90.2242488861084
4,"(36.97965, -121.967367)","(36.209607, -115.031337)",A_star_harvesine,53003,573956,2.9103498839151154,90.01009917259216
4,"(36.97965, -121.967367)","(36.209607, -115.031337)",A_star_euclidian_distance,52908,573956,2.916685371477544,90.00403714179993
5,"(36.132126, -110.066761)","(42.845412, -117.011185)",BFS,240,14416,4.705882352941177,90.4012610912323
5,"(36.132126, -110.066761)","(42.845412, -117.011185)",DFS,34,2184,1.7894736842105263,10.144010543823242
5,"(36.132126, -110.066761)","(42.845412, -117.011185)",UCS,217,12432,2.358695652173913,90.36272525787354
5,"(36.132126, -110.066761)","(42.845412, -117.011185)",A_star_harvesine,55468,489180,3.221225741857146,90.01290225982666
5,"(36.132126, -110.066761)","(42.845412, -117.011185)",A_star_euclidian_distance,56081,489180,3.2167760114391455,90.00008249282837
6,"(42.223331, -102.851003)","(48.138241, -123.460476)",BFS,223,13464,1.5067567567567568,90.26990509033203
6,"(42.223331, -102.851003)","(48.138241, -123.460476)",DFS,28,1848,1.4736842105263157,10.17562985420227
6,"(42.223331, -102.851003)","(48.138241, -123.460476)",UCS,206,11816,1.4609929078014185,90.33666062355042
6,"(42.223331, -102.851003)","(48.138241, -123.460476)",A_star_harvesine,68209,626340,7.127385221890656,90.01257061958313
6,"(42.223331, -102.851003)","(48.138241, -123.460476)",A_star_euclidian_distance,68145,626340,7.126620084943143,90.0080726146698
7,"(33.067017, -117.077088)","(34.419419, -117.426276)",BFS,211,12792,1.990566037735849,90.47973394393921
7,"(33.067017, -117.077088)","(34.419419, -117.426276)",DFS,24,1624,1.3333333333333333,10.000761985778809
7,"(33.067017, -117.077088)","(34.419419, -117.426276)",UCS,193,11088,1.5317460317460319,90.5063853263855
